date,open,high,low,close,volume,amount,turn,pctChg
2012-12-21,,,,,,,,
2012-12-24,,,,,,,,
2012-12-25,,,,,,,,
2012-12-26,,,,,,,,
2012-12-27,,,,,,,,
2012-12-28,,,,,,,,
2012-12-31,,,,,,,,
2013-01-04,,,,,,,,
2013-01-07,,,,,,,,
2013-01-08,,,,,,,,
2013-01-09,,,,,,,,
2013-01-10,,,,,,,,
2013-01-11,,,,,,,,
2013-01-14,,,,,,,,
2013-01-15,,,,,,,,
2013-01-16,,,,,,,,
2013-01-17,,,,,,,,
2013-01-18,,,,,,,,
2013-01-21,,,,,,,,
2013-01-22,,,,,,,,
2013-01-23,,,,,,,,
2013-01-24,,,,,,,,
2013-01-25,,,,,,,,
2013-01-28,,,,,,,,
2013-01-29,,,,,,,,
2013-01-30,,,,,,,,
2013-01-31,,,,,,,,
2013-02-01,,,,,,,,
2013-02-04,,,,,,,,
2013-02-05,,,,,,,,
2013-02-06,,,,,,,,
2013-02-07,,,,,,,,
2013-02-08,,,,,,,,
2013-02-18,,,,,,,,
2013-02-19,,,,,,,,
2013-02-20,,,,,,,,
2013-02-21,,,,,,,,
2013-02-22,,,,,,,,
2013-02-25,,,,,,,,
2013-02-26,,,,,,,,
2013-02-27,,,,,,,,
2013-02-28,,,,,,,,
2013-03-01,,,,,,,,
2013-03-04,,,,,,,,
2013-03-05,,,,,,,,
2013-03-06,,,,,,,,
2013-03-07,,,,,,,,
2013-03-08,,,,,,,,
2013-03-11,,,,,,,,
2013-03-12,,,,,,,,
2013-03-13,,,,,,,,
2013-03-14,,,,,,,,
2013-03-15,,,,,,,,
2013-03-18,,,,,,,,
2013-03-19,,,,,,,,
2013-03-20,,,,,,,,
2013-03-21,,,,,,,,
2013-03-22,,,,,,,,
2013-03-25,,,,,,,,
2013-03-26,,,,,,,,
2013-03-27,,,,,,,,
2013-03-28,,,,,,,,
2013-03-29,,,,,,,,
2013-04-01,,,,,,,,
2013-04-02,,,,,,,,
2013-04-03,,,,,,,,
2013-04-08,,,,,,,,
2013-04-09,,,,,,,,
2013-04-10,,,,,,,,
2013-04-11,,,,,,,,
2013-04-12,,,,,,,,
2013-04-15,,,,,,,,
2013-04-16,,,,,,,,
2013-04-17,,,,,,,,
2013-04-18,,,,,,,,
2013-04-19,,,,,,,,
2013-04-22,,,,,,,,
2013-04-23,,,,,,,,
2013-04-24,,,,,,,,
2013-04-25,,,,,,,,
2013-04-26,,,,,,,,
2013-05-02,,,,,,,,
2013-05-03,,,,,,,,
2013-05-06,,,,,,,,
2013-05-07,,,,,,,,
2013-05-08,,,,,,,,
2013-05-09,,,,,,,,
2013-05-10,,,,,,,,
