date,open,high,low,close,volume,amount,turn,pctChg
2010-11-29,4500.1030,4548.6640,4473.1530,4527.2760,3637824000,51929854889.0000,0.019659,0.000000
2010-11-30,4521.2800,4533.4310,4283.9920,4409.8680,4664086500,63970736521.0000,0.025204,-2.593348
2010-12-01,4392.9730,4428.7090,4372.3580,4409.0520,2747311500,38332664277.0000,0.014798,-0.018504
2010-12-02,4460.6370,4477.2390,4421.7540,4427.1430,3497240200,49073238896.0000,0.018838,0.410315
2010-12-03,4426.7570,4433.9980,4355.9140,4394.0540,2791081000,38517233406.0000,0.015034,-0.747412
2010-12-06,4397.3430,4406.5340,4300.0970,4325.2820,2507385000,35655095187.0000,0.013504,-1.565115
2010-12-07,4307.3190,4382.0690,4250.6110,4378.6120,2392058500,33589143741.0000,0.012843,1.232983
2010-12-08,4377.6390,4422.0590,4362.0690,4372.6330,2553145500,35944378361.0000,0.013698,-0.136550
2010-12-09,4352.7270,4355.1330,4285.2640,4286.6470,2624736700,35479414414.0000,0.014082,-1.966458
2010-12-10,4266.1920,4353.9890,4254.2140,4348.9630,2388748900,32537039223.0000,0.012802,1.453724
2010-12-13,4370.7770,4471.9020,4370.7770,4471.0910,3583393200,50799740791.0000,0.019205,2.808210
2010-12-14,4488.8760,4522.3600,4472.7090,4521.5720,3842294900,55414708344.0000,0.020578,1.129053
2010-12-15,4519.6310,4545.6260,4493.1210,4509.6030,3436205700,50524406141.0000,0.018403,-0.264709
2010-12-16,4500.3650,4520.8240,4476.0810,4488.4070,2740957400,37773084065.0000,0.014680,-0.470019
2010-12-17,4483.9000,4495.9940,4460.1560,4492.7640,2426862900,33777071383.0000,0.012993,0.097072
2010-12-20,4505.2710,4521.7030,4340.5210,4438.6600,3610854600,52830391638.0000,0.019251,-1.204247
2010-12-21,4436.9660,4487.4740,4402.8400,4486.5340,2983181800,43966062481.0000,0.015889,1.078569
2010-12-22,4486.6010,4487.3090,4425.8300,4442.3200,2960926200,42983162830.0000,0.015731,-0.985482
